ms,Aax,Aay,Aaz,Agx,Agy,Agz,Bax,Bay,Baz,Bgx,Bgy,Bgz,Cax,Cay,Caz,Cgx,Cgy,Cgz,Dax,Day,Daz,Dgx,Dgy,Dgz,Eax,Eay,Eaz,Egx,Egy,Egz,Fax,Fay,Faz,Fgx,Fgy,Fgz,Gax,Gay,Gaz,Ggx,Ggy,Ggz,Hax,Hay,Haz,Hgx,Hgy,Hgz,Iax,Iay,Iaz,Igx,Igy,Igz,Jax,Jay,Jaz,Jgx,Jgy,Jgz,target
0,0.476074219,0.168457031,0.868164063,-0.792682946,1.097561002,-0.548780501,-0.112792969,-0.176757813,-0.988769531,-1.463414669,0.548780501,0,-0.0234375,-0.270507813,0.978027344,-2.01219511,-0.060975611,-0.182926834,-0.134765625,0.792480469,-0.599121094,-0.914634168,-0.182926834,0.060975611,-0.053710938,-0.009277344,1.0078125,-1.707317114,-0.060975611,-0.48780489,-0.115722656,0.001953125,1.016601563,0,-0.426829278,-0.548780501,0.645996094,0.035644531,0.749511719,-0.426829278,0.731707335,0.426829278,-0.8359375,0.036132813,0.565429688,-1.036585331,0.182926834,0.182926834,0.512207031,-0.191894531,0.83203125,-1.341463447,0,0.365853667,-0.944335938,0.022949219,0.355957031,-0.792682946,-0.060975611,0.304878056,0
50,0.474609375,0.164550781,0.865722656,-0.792682946,0.731707335,-0.792682946,-0.114257813,-0.176269531,-0.987304688,0.243902445,0.182926834,0.060975611,-0.013183594,-0.273925781,0.979492188,0.853658557,0,-0.365853667,-0.135253906,0.791992188,-0.596191406,-1.585365891,-0.121951222,0.609756112,-0.087890625,0.01953125,1.020019531,-0.182926834,-0.365853667,-0.304878056,-0.090332031,0.00390625,1.008789063,-0.365853667,-1.585365891,-0.243902445,0.649902344,0.038085938,0.748535156,-0.548780501,0.792682946,0.304878056,-0.833984375,0.036132813,0.563964844,-0.914634168,0,0.304878056,0.513183594,-0.195800781,0.829101563,-1.402438998,0.121951222,0.548780501,-0.944335938,0.025878906,0.358886719,-0.670731723,0.060975611,0.243902445,0
100,0.466796875,0.161621094,0.870605469,-0.304878056,-0.060975611,-1.158536553,-0.112792969,-0.177734375,-0.986328125,-1.463414669,0.182926834,0.060975611,-0.018066406,-0.265625,0.981445313,-0.914634168,0.060975611,0,-0.13671875,0.791992188,-0.6015625,-1.585365891,-0.182926834,0.121951222,-0.0625,-0.025878906,0.986328125,0.060975611,0.182926834,-0.304878056,-0.092285156,-0.002441406,1.019042969,1.585365891,-0.975609779,-0.365853667,0.653320313,0.038574219,0.749023438,-0.48780489,0.670731723,0.304878056,-0.833984375,0.037109375,0.563476563,-0.914634168,0,0.182926834,0.516601563,-0.194335938,0.831054688,-0.975609779,-0.060975611,0.731707335,-0.946777344,0.025390625,0.357421875,-1.036585331,0.243902445,0.365853667,0
150,0.473632813,0.161132813,0.868652344,0.365853667,-0.792682946,-0.670731723,-0.114257813,-0.176269531,-0.985839844,-0.365853667,0.365853667,0.121951222,-0.016601563,-0.272460938,0.978027344,-1.707317114,-0.243902445,-0.304878056,-0.135253906,0.791503906,-0.602539063,-0.792682946,0.548780501,0.731707335,-0.074707031,-0.010742188,1.020996094,-0.060975611,-0.121951222,-0.426829278,-0.099609375,-0.005859375,1.024902344,0.48780489,-2.5,0.121951222,0.643066406,0.033203125,0.750976563,-0.243902445,0.548780501,0.426829278,-0.834472656,0.036132813,0.564453125,-0.792682946,0.060975611,0.243902445,0.511230469,-0.193847656,0.833496094,-1.158536553,-0.243902445,0.670731723,-0.944824219,0.024902344,0.354980469,-0.975609779,0.060975611,0.304878056,0
200,0.489746094,0.158691406,0.865722656,1.219512224,1.280487776,-0.914634168,-0.111816406,-0.179199219,-0.987304688,-0.792682946,0.48780489,0.182926834,-0.018066406,-0.271972656,0.981445313,0.609756112,0.060975611,-0.243902445,-0.137695313,0.791015625,-0.602050781,-1.097561002,-0.060975611,0.121951222,-0.061523438,-0.010742188,1.015136719,-2.134146452,0.060975611,-0.670731723,-0.080078125,0.001953125,1.026367188,-1.402438998,0.48780489,-0.304878056,0.649414063,0.038574219,0.749023438,-0.182926834,1.036585331,0.548780501,-0.833007813,0.038085938,0.562988281,-1.280487776,-0.121951222,0.243902445,0.511230469,-0.194824219,0.830566406,-1.219512224,0,0.48780489,-0.947753906,0.024902344,0.354980469,-1.036585331,-0.060975611,0.182926834,0
250,0.486816406,0.168945313,0.866699219,2.378048897,-1.402438998,0.060975611,-0.111816406,-0.179199219,-0.986328125,0.060975611,-0.060975611,0.304878056,-0.017089844,-0.264648438,0.979980469,-0.548780501,0.060975611,-0.243902445,-0.137207031,0.79296875,-0.599609375,-0.243902445,-0.121951222,0,-0.058105469,-0.017578125,1.000976563,0,0.365853667,-0.853658557,-0.09765625,-0.002441406,1.010253906,-0.609756112,0.182926834,-0.365853667,0.649902344,0.037109375,0.750488281,-0.731707335,0.609756112,0.365853667,-0.834472656,0.036621094,0.565917969,-1.036585331,0.121951222,0.426829278,0.512207031,-0.195800781,0.831542969,-1.158536553,0.182926834,0.48780489,-0.943359375,0.024414063,0.35546875,-0.48780489,0.243902445,0.121951222,0
300,0.483398438,0.177246094,0.859863281,2.256097555,0.304878056,-0.243902445,-0.111328125,-0.174804688,-0.985351563,-0.670731723,0.304878056,-0.121951222,-0.019042969,-0.273925781,0.980957031,-0.975609779,0.243902445,-0.060975611,-0.137207031,0.792480469,-0.602050781,-1.097561002,0.243902445,0.792682946,-0.059570313,-0.004882813,1.010742188,0.060975611,0.48780489,-0.48780489,-0.0859375,0.001953125,1.005371094,-0.853658557,-3.719512224,0,0.651855469,0.037109375,0.748046875,-0.670731723,0.670731723,0.243902445,-0.83203125,0.037109375,0.562988281,-1.097561002,0.182926834,0.426829278,0.514648438,-0.191894531,0.831054688,-1.158536553,0.060975611,0.365853667,-0.942871094,0.025878906,0.354492188,-0.731707335,0.243902445,0.304878056,0
350,0.474609375,0.181640625,0.865234375,1.158536553,1.341463447,0.121951222,-0.110351563,-0.177734375,-0.986816406,-0.48780489,0.243902445,0.060975611,-0.020507813,-0.267089844,0.981933594,-0.243902445,-0.304878056,-0.182926834,-0.136230469,0.791503906,-0.600585938,-1.341463447,0.182926834,0.975609779,-0.060058594,-0.003417969,1.010742188,-0.48780489,0.182926834,-0.731707335,-0.092285156,0.004394531,1.019042969,-0.304878056,-4.024390221,-0.48780489,0.649902344,0.034179688,0.75,-0.426829278,0.792682946,0.182926834,-0.834960938,0.037597656,0.561035156,-0.975609779,0.182926834,0.426829278,0.51171875,-0.192871094,0.831542969,-1.219512224,0.121951222,0.670731723,-0.9453125,0.024414063,0.356933594,-0.853658557,0.182926834,0.304878056,0
400,0.481445313,0.175292969,0.864746094,0.670731723,0.670731723,0.548780501,-0.11328125,-0.178222656,-0.983886719,-1.463414669,0.243902445,0.304878056,-0.01953125,-0.269042969,0.982910156,-0.609756112,0.182926834,-0.365853667,-0.132324219,0.79296875,-0.605957031,-2.560975552,0.426829278,1.219512224,-0.061523438,-0.011230469,1.012695313,-1.646341443,0.060975611,-0.792682946,-0.075195313,-0.003417969,1.036621094,-0.670731723,0.609756112,-0.609756112,0.6484375,0.040039063,0.749023438,-0.48780489,0.914634168,0.365853667,-0.833496094,0.037597656,0.564453125,-0.853658557,0.060975611,0.365853667,0.51171875,-0.195800781,0.827636719,-1.402438998,0.060975611,0.365853667,-0.942871094,0.025390625,0.354492188,-0.731707335,0.182926834,0.365853667,0
450,0.48828125,0.171875,0.859375,0.792682946,0.731707335,0,-0.11328125,-0.176757813,-0.990234375,-1.524390221,0.304878056,0.121951222,-0.020507813,-0.267089844,0.981933594,-1.707317114,0,0,-0.137207031,0.793457031,-0.58203125,-2.073170662,-0.609756112,-0.243902445,-0.059570313,0.014160156,1.038574219,-2.256097555,-1.463414669,0.060975611,-0.096679688,0.00390625,1.016601563,-0.182926834,-0.182926834,-0.853658557,0.649902344,0.038574219,0.751464844,-0.670731723,0.670731723,0.365853667,-0.833984375,0.038574219,0.563964844,-1.036585331,0.060975611,0.304878056,0.516113281,-0.196777344,0.828613281,-1.158536553,0,0.548780501,-0.946777344,0.023925781,0.356445313,-0.609756112,0.121951222,0.243902445,0
