ms,Aax,Aay,Aaz,Agx,Agy,Agz,Bax,Bay,Baz,Bgx,Bgy,Bgz,Cax,Cay,Caz,Cgx,Cgy,Cgz,Dax,Day,Daz,Dgx,Dgy,Dgz,Eax,Eay,Eaz,Egx,Egy,Egz,Fax,Fay,Faz,Fgx,Fgy,Fgz,Gax,Gay,Gaz,Ggx,Ggy,Ggz,Hax,Hay,Haz,Hgx,Hgy,Hgz,Iax,Iay,Iaz,Igx,Igy,Igz,Jax,Jay,Jaz,Jgx,Jgy,Jgz,target
0,-0.3203125,0.046386719,0.955078125,1.768292665,-10.85365868,-0.060975611,-0.099609375,-0.586914063,-0.809570313,0.365853667,0.121951222,-0.060975611,-0.112304688,0.106445313,1.005371094,-0.365853667,0.243902445,0.121951222,-0.134277344,0.818359375,-0.562011719,-0.975609779,0.853658557,1.585365891,-0.053710938,0.234863281,0.979003906,-2.743902445,0.365853667,-0.609756112,0.066894531,-0.033203125,1.000976563,-0.548780501,1.524390221,-0.304878056,0.591308594,0.059570313,0.795898438,0.060975611,0.792682946,-0.060975611,-0.928222656,-0.038085938,0.388671875,-0.548780501,-0.060975611,0.670731723,0.491210938,-0.019042969,0.867675781,-0.731707335,0.304878056,0,-0.977539063,0.001953125,0.250976563,-0.182926834,0,0.731707335,0
50,-0.314453125,0.034667969,0.953125,1.280487776,-9.939023972,-1.951219559,-0.099121094,-0.584960938,-0.807128906,0.121951222,0.243902445,-0.182926834,-0.117675781,0.120117188,1.00390625,1.158536553,0.426829278,0.182926834,-0.134277344,0.819824219,-0.56640625,-0.365853667,0.426829278,0.670731723,-0.059082031,0.241210938,0.982421875,-0.670731723,-0.060975611,-0.548780501,0.045410156,-0.032714844,1.037597656,-1.097561002,-0.792682946,-0.670731723,0.591308594,0.066894531,0.792480469,-0.121951222,1.036585331,0.060975611,-0.92578125,-0.039550781,0.392089844,-1.280487776,-0.548780501,0.426829278,0.496582031,-0.020996094,0.869628906,-0.975609779,0.060975611,0,-0.973632813,0.006347656,0.254882813,-0.609756112,-0.304878056,0.609756112,0
100,-0.293945313,0.038085938,0.991210938,-4.451219559,-1.524390221,-2.743902445,-0.097167969,-0.594238281,-0.805175781,0.792682946,-2.256097555,-4.939024448,-0.11328125,0.118164063,1.011230469,1.158536553,0.243902445,0.426829278,-0.132324219,0.815917969,-0.561035156,2.01219511,1.646341443,1.707317114,-0.051757813,0.229492188,0.978027344,-0.792682946,0.48780489,-0.304878056,0.085449219,-0.038574219,1.019042969,-0.304878056,-2.134146452,-0.792682946,0.598144531,0.063964844,0.791992188,-0.060975611,0.731707335,0.609756112,-0.92578125,-0.042480469,0.392089844,-0.426829278,-0.060975611,0.243902445,0.4921875,-0.017089844,0.864746094,-0.792682946,0.060975611,0.060975611,-0.976074219,0.005371094,0.256835938,-0.670731723,-0.365853667,0.548780501,0
150,-0.31640625,0.024414063,0.965820313,-2.865853548,-7.134146214,-4.390244007,-0.093261719,-0.585449219,-0.809082031,0.304878056,-0.121951222,0,-0.095214844,0.141601563,0.998535156,-0.243902445,-0.182926834,-0.243902445,-0.130371094,0.821289063,-0.571777344,-0.365853667,-0.365853667,-0.243902445,-0.052246094,0.251464844,0.981445313,-0.670731723,0.670731723,-0.609756112,0.090332031,-0.040039063,1.017089844,-0.243902445,0.243902445,-0.48780489,0.593261719,0.057128906,0.793457031,-0.182926834,0.792682946,0.304878056,-0.924804688,-0.037109375,0.392578125,-1.585365891,0.121951222,0.304878056,0.494140625,-0.015625,0.865234375,-1.036585331,0.182926834,0.48780489,-0.974609375,0.0078125,0.252441406,-0.48780489,0,0.182926834,0
200,-0.301269531,-0.00390625,0.956054688,-1.829268336,0,-4.146341324,-0.098632813,-0.588378906,-0.807128906,0.304878056,-0.182926834,0.304878056,-0.115722656,0.130859375,1.01171875,-2.378048897,0.182926834,-0.548780501,-0.134277344,0.815429688,-0.56640625,-2.073170662,-0.792682946,-0.182926834,-0.062988281,0.240234375,0.979980469,-1.341463447,0.060975611,-0.975609779,0.073242188,-0.025878906,1.023925781,1.158536553,-0.304878056,0.48780489,0.598144531,0.062988281,0.791503906,-0.304878056,0.48780489,0.365853667,-0.926757813,-0.043945313,0.389648438,-0.670731723,0.365853667,0.243902445,0.489257813,-0.020019531,0.8671875,-1.280487776,-0.182926834,0.792682946,-0.974609375,0.008789063,0.252441406,-0.426829278,0.426829278,-0.121951222,0
250,-0.3125,0.001464844,0.9609375,-1.341463447,-0.609756112,-0.792682946,-0.096191406,-0.588867188,-0.807128906,-2.865853548,0.304878056,0,-0.118164063,0.1015625,1.00390625,-1.463414669,-0.304878056,-0.548780501,-0.134765625,0.817871094,-0.563964844,-2.134146452,0.670731723,1.768292665,-0.051269531,0.238769531,0.987792969,-2.134146452,0.609756112,-1.036585331,0.084472656,-0.036621094,1.008300781,-0.792682946,0.731707335,0.182926834,0.593261719,0.064453125,0.795410156,-0.609756112,0.48780489,0.548780501,-0.927734375,-0.042480469,0.392089844,-0.914634168,0.182926834,0.365853667,0.489746094,-0.022460938,0.869140625,-1.585365891,0.121951222,0.609756112,-0.977050781,0.007324219,0.253417969,-1.402438998,0.48780489,-0.609756112,0
300,-0.338867188,0.010742188,0.966796875,-0.975609779,0.670731723,-2.560975552,-0.096191406,-0.587890625,-0.810058594,-2.256097555,0.48780489,-0.121951222,-0.115234375,0.126953125,1.013183594,0.670731723,-0.121951222,-0.304878056,-0.134277344,0.819824219,-0.561035156,-2.439024448,-0.548780501,0.609756112,-0.060058594,0.233886719,0.975585938,-0.975609779,0.426829278,-0.731707335,0.063964844,-0.03125,1.055664063,0,1.097561002,-1.402438998,0.591796875,0.064453125,0.793945313,-0.365853667,0.609756112,0.365853667,-0.926757813,-0.040527344,0.389648438,-1.280487776,-0.243902445,0.121951222,0.486816406,-0.024414063,0.869140625,-1.402438998,0.243902445,0.48780489,-0.977050781,0.004394531,0.251953125,0.060975611,0.304878056,-0.243902445,0
350,-0.291503906,0.013671875,0.975097656,-1.585365891,2.560975552,-0.975609779,-0.095214844,-0.586425781,-0.807617188,-0.060975611,0.182926834,-0.060975611,-0.104980469,0.122558594,1,-0.792682946,-0.060975611,-0.243902445,-0.1328125,0.822753906,-0.563476563,-1.219512224,-0.060975611,0.670731723,-0.059570313,0.240722656,0.991210938,-0.975609779,0.731707335,-0.548780501,0.05078125,-0.031738281,1.009765625,0.426829278,-2.134146452,-0.121951222,0.592285156,0.066894531,0.796875,-0.975609779,0.792682946,0.48780489,-0.926757813,-0.041503906,0.392089844,-1.341463447,-0.48780489,-0.060975611,0.494140625,-0.024414063,0.8671875,-1.280487776,0.365853667,0.609756112,-0.978515625,0.007324219,0.251464844,-0.975609779,0,-0.243902445,0
400,-0.303222656,-0.00390625,0.968261719,-0.731707335,-1.524390221,-1.524390221,-0.095214844,-0.587890625,-0.80859375,1.036585331,-0.243902445,0.121951222,-0.118164063,0.126953125,1.007324219,-1.402438998,0.121951222,-0.121951222,-0.134277344,0.819335938,-0.562011719,-0.48780489,-0.426829278,0.243902445,-0.053222656,0.241210938,0.978027344,-0.48780489,0.304878056,-0.365853667,0.076171875,-0.040039063,1.028808594,0.060975611,-3.475609779,-0.792682946,0.593261719,0.056640625,0.793457031,-0.853658557,0.792682946,0.609756112,-0.924804688,-0.041992188,0.392578125,-1.097561002,-0.304878056,-0.060975611,0.495605469,-0.020996094,0.866699219,-1.219512224,0.121951222,0.365853667,-0.975097656,0.005371094,0.254394531,-0.548780501,0.060975611,0.060975611,0
450,-0.329589844,0.016113281,0.958496094,-0.914634168,2.073170662,-1.158536553,-0.097167969,-0.587402344,-0.809570313,0.060975611,-0.182926834,-0.060975611,-0.113769531,0.114746094,1.001464844,-0.609756112,0.060975611,-0.182926834,-0.134277344,0.818847656,-0.562011719,-0.121951222,0.060975611,0.182926834,-0.063476563,0.237792969,0.98828125,-0.182926834,0.182926834,-0.182926834,0.097167969,-0.03515625,1.015136719,0.975609779,-1.219512224,-0.48780489,0.600585938,0.061035156,0.789550781,-0.48780489,0.792682946,0.609756112,-0.926269531,-0.04296875,0.392578125,-1.280487776,0.243902445,0.060975611,0.494628906,-0.021484375,0.866699219,-1.097561002,-0.060975611,0.426829278,-0.973632813,0.005859375,0.255371094,-0.609756112,0.243902445,-0.243902445,0
