ms,Aax,Aay,Aaz,Agx,Agy,Agz,Bax,Bay,Baz,Bgx,Bgy,Bgz,Cax,Cay,Caz,Cgx,Cgy,Cgz,Dax,Day,Daz,Dgx,Dgy,Dgz,Eax,Eay,Eaz,Egx,Egy,Egz,Fax,Fay,Faz,Fgx,Fgy,Fgz,Gax,Gay,Gaz,Ggx,Ggy,Ggz,Hax,Hay,Haz,Hgx,Hgy,Hgz,Iax,Iay,Iaz,Igx,Igy,Igz,Jax,Jay,Jaz,Jgx,Jgy,Jgz,target
0,-0.952148438,-0.191894531,0.298828125,4.268292904,1.524390221,-3.292682886,-0.465332031,-0.753417969,-0.499023438,-4.51219511,2.621951103,-3.536585331,0.771972656,-0.594238281,0.240722656,3.048780441,2.256097555,-3.963414669,-0.881835938,0.478515625,-0.067871094,0,0.182926834,-1.097561002,-0.541015625,0.762207031,0.37109375,-0.304878056,-0.48780489,-1.280487776,-1.005371094,0.02734375,-0.116699219,0.365853667,-2.5,-0.914634168,-0.336425781,-0.134765625,0.931152344,0.792682946,1.158536553,-1.158536553,-0.984863281,-0.178710938,0.012207031,-2.682926893,-0.121951222,0.853658557,-0.346679688,0.002441406,0.715332031,-3.109755993,-6.158536434,-7.256097794,-0.857910156,-0.028320313,-0.206542969,7.439024448,-8.475609779,-2.073170662,0
50,-0.978027344,-0.198242188,0.296386719,6.402439117,1.280487776,-1.829268336,-0.458007813,-0.763671875,-0.497558594,-3.353658438,2.560975552,-2.134146452,0.782226563,-0.581054688,0.2265625,1.463414669,4.756097794,-1.951219559,-0.886230469,0.475585938,-0.068847656,2.560975552,-1.402438998,-2.865853548,-0.551269531,0.759277344,0.387695313,-2.256097555,-0.426829278,-2.621951103,-0.986816406,-0.004394531,-0.114746094,0.914634168,-1.829268336,-0.731707335,-0.339355469,-0.163085938,0.927246094,-2.256097555,0.609756112,-0.060975611,-0.989746094,-0.181152344,0.011230469,-1.402438998,0.182926834,-0.304878056,-0.369140625,-0.086425781,0.724609375,-7.439024448,5,-1.463414669,-0.750976563,0.03515625,-0.290527344,-10,3.353658438,-2.560975552,0
100,-0.959960938,-0.177734375,0.29296875,7.317073345,-3.231707335,3.475609779,-0.461425781,-0.759765625,-0.500976563,1.951219559,3.109755993,-1.280487776,0.760253906,-0.6171875,0.250488281,-3.780487776,6.036585331,-1.463414669,-0.866699219,0.51171875,-0.074707031,4.268292904,0.304878056,-2.195122004,-0.575683594,0.781738281,0.395507813,-1.524390221,-0.914634168,-0.365853667,-1.004394531,0.008789063,-0.108886719,1.097561002,2.378048897,-2.073170662,-0.330078125,-0.190917969,0.923828125,-1.829268336,0.914634168,1.402438998,-0.986816406,-0.19921875,0.014160156,0.48780489,0.914634168,0.670731723,-0.44921875,-0.066894531,0.865234375,7.073170662,15.30487823,2.682926893,-0.876464844,0.116699219,-0.196777344,-3.414634228,10.73170757,2.743902445,0
150,-0.934082031,-0.157714844,0.305175781,6.463414669,-4.634146214,5.609755993,-0.447753906,-0.743164063,-0.493164063,0.731707335,0.914634168,-2.317073107,0.736816406,-0.594726563,0.280273438,4.573170662,3.841463327,0.731707335,-0.868164063,0.504394531,-0.075683594,-0.975609779,3.170731783,-1.707317114,-0.575195313,0.753417969,0.388183594,-7.01219511,-2.378048897,1.524390221,-1.001953125,0.022949219,-0.12890625,0.975609779,2.317073107,-2.98780489,-0.328125,-0.200195313,0.922851563,1.219512224,1.036585331,0.243902445,-0.988769531,-0.177246094,0.010253906,-0.731707335,1.036585331,2.378048897,-0.605957031,-0.004394531,1.02734375,9.817072868,9.146341324,5.670731544,-1.185058594,0.083984375,-0.075683594,7.865853786,4.268292904,9.695121765,0
200,-0.931152344,-0.139160156,0.315429688,3.963414669,-4.024390221,5.792683125,-0.447753906,-0.758300781,-0.481933594,1.585365891,-0.914634168,-5.670731544,0.741699219,-0.599121094,0.265625,14.26829243,1.036585331,9.451219559,-0.877441406,0.486328125,-0.0703125,-0.792682946,2.195122004,-0.853658557,-0.561035156,0.72265625,0.374023438,-6.951219559,-1.097561002,0.426829278,-1.005371094,0.020996094,-0.146484375,0.609756112,-1.341463447,-1.219512224,-0.346191406,-0.149902344,0.927246094,1.890243888,1.097561002,-0.121951222,-0.993164063,-0.173339844,0.0078125,-2.256097555,0.670731723,1.585365891,-0.522460938,0.035644531,0.892578125,1.158536553,-0.426829278,0.548780501,-1.094238281,-0.026855469,-0.146484375,10.1219511,-0.548780501,3.048780441,0
250,-0.926757813,-0.151367188,0.332519531,3.963414669,-2.439024448,6.341463566,-0.46875,-0.740722656,-0.494628906,5.121951103,-1.280487776,-5.426829338,0.736328125,-0.584472656,0.252929688,19.20731735,0.243902445,12.25609779,-0.885742188,0.492675781,-0.063964844,-1.219512224,0.792682946,-0.060975611,-0.557617188,0.723632813,0.377929688,-3.658536673,1.524390221,-0.548780501,-0.9921875,0.009765625,-0.136230469,0.975609779,-4.634146214,-0.365853667,-0.352050781,-0.143554688,0.926757813,-1.341463447,0.914634168,-0.243902445,-0.9921875,-0.176269531,0.008300781,-1.341463447,0.304878056,-0.426829278,-0.46875,-0.037109375,0.81640625,-9.024390221,1.036585331,-1.585365891,-0.931152344,0.005859375,-0.208984375,-4.939024448,1.341463447,-3.170731783,0
300,-0.927734375,-0.188964844,0.33203125,6.951219559,0.243902445,5.548780441,-0.45703125,-0.721679688,-0.48828125,3.841463327,-1.341463447,0.609756112,0.744628906,-0.551269531,0.263671875,26.64634132,-1.707317114,10.97560978,-0.881347656,0.497558594,-0.067871094,-4.085365772,0.304878056,0,-0.564453125,0.753417969,0.373046875,-1.768292665,2.621951103,-0.670731723,-0.997558594,0.008300781,-0.142089844,0.121951222,2.560975552,-0.304878056,-0.348144531,-0.159667969,0.926269531,-2.98780489,0.48780489,0.914634168,-0.989257813,-0.181152344,0.009765625,-1.158536553,-0.182926834,-1.219512224,-0.506835938,-0.079101563,0.861816406,-2.5,4.207316875,0.243902445,-0.959472656,0.058105469,-0.185058594,-5.853658676,3.475609779,-1.585365891,0
350,-0.939941406,-0.288574219,0.33203125,32.80487823,1.768292665,4.817073345,-0.449707031,-0.748535156,-0.473632813,1.890243888,-5.182926655,1.158536553,0.678710938,-0.568847656,0.302734375,-0.426829278,-4.573170662,10.97560978,-0.899414063,0.491210938,-0.069824219,-4.695121765,0.060975611,1.158536553,-0.567382813,0.752929688,0.391601563,-2.560975552,3.658536673,-1.524390221,-1.014160156,0.012695313,-0.138671875,0.670731723,-0.48780489,-1.341463447,-0.338867188,-0.1875,0.920410156,-2.073170662,0.304878056,1.463414669,-0.989746094,-0.188476563,0.009277344,-2.073170662,-0.731707335,-0.548780501,-0.518066406,-0.037597656,0.890625,4.268292904,3.841463327,1.951219559,-1.013183594,0.0546875,-0.161621094,2.378048897,1.585365891,2.682926893,0
400,-0.960449219,-0.299804688,0.326171875,61.46341324,1.219512224,-2.256097555,-0.463378906,-0.708984375,-0.42578125,2.195122004,-9.573170662,1.829268336,0.535644531,-0.676269531,0.337890625,26.95121956,-15.1219511,17.43902397,-0.875976563,0.49609375,-0.060058594,-1.768292665,2.378048897,1.646341443,-0.579101563,0.764648438,0.407226563,-5,3.902439117,-1.524390221,-0.991699219,0.009277344,-0.119628906,-0.243902445,-1.646341443,-0.304878056,-0.33203125,-0.185546875,0.92578125,-0.853658557,0.548780501,1.219512224,-0.98828125,-0.185546875,0.015625,-2.621951103,-0.060975611,0.243902445,-0.513183594,0.006835938,0.880859375,0.548780501,1.036585331,1.524390221,-1.025390625,0.024414063,-0.168945313,3.231707335,0.792682946,2.256097555,0
450,-0.962890625,-0.173828125,0.300292969,74.93902588,-0.426829278,-6.158536434,-0.56640625,-0.692382813,-0.310546875,-5.914634228,-32.5,2.743902445,0.379394531,-0.541015625,0.364257813,43.10975647,-42.25609589,35.54878235,-0.844238281,0.478027344,-0.038574219,1.036585331,7.01219511,0.609756112,-0.592773438,0.747070313,0.421386719,-9.756097794,-0.548780501,-1.280487776,-1.008789063,-0.015136719,-0.115234375,-0.853658557,-1.951219559,-2.134146452,-0.326660156,-0.177246094,0.927734375,-0.670731723,0.914634168,0.914634168,-0.986328125,-0.188476563,0.012695313,-0.731707335,0.975609779,0.304878056,-0.50390625,-0.022949219,0.863769531,-4.207316875,0.609756112,0.609756112,-0.996582031,0.029785156,-0.182128906,-3.048780441,1.158536553,-1.036585331,0
